Flight Routes for Regional Flight Routes Nr2404 (EFF202404171600UTC),
Route Code,Fly along,
RCBS-ZBTJ-01,SULEM R596 BZ A470 EMRID W135 DOGVI A470 DPX A593 DALIM W157 AVBOX,
RCBS-ZLXY-01,SULEM R596 BZ A470 EMRID W135 DOGVI W545 VEMEX W163 HFE B208 TYN W87 GODON W43 GUTRU W47 LOVRA,
RCBS-ZPPP-01,OLDID R200 LH R339 BSE A599 LXI,
RCFN-ZBTJ-01,SULEM R596 BZ A470 EMRID W135 DOGVI A470 DPX A593 DALIM W157 AVBOX,
RCKH-ZBAA-01,SULEM R596 BZ A470 EMRID W135 DOGVI A470 DPX A593 DALIM W157 AVBOX,
RCKH-ZBSJ-01,SULEM R596 BZ A470 EMRID W135 DOGVI W545 VEMEX W163 HFE B208 OBMEP W56 ORODO W62 IGDID,
RCKH-ZBTJ-01,SULEM R596 BZ A470 EMRID W135 DOGVI A470 DPX A593 DALIM W157 AVBOX,
RCKH-ZBYN-01,SULEM R596 BZ A470 EMRID W135 DOGVI W545 VEMEX W163 HFE B208 ANPIG,
RCKH-ZGGG-01,OLDID R200 GUBLO W22 SHL,
RCKH-ZGHA-01,BEKOL A461 MEXON W616 UKLUK,
RCKH-ZGKL-01,OLDID R200 GUBLO W22 TEPID W24 OSNOV G586 QP,
RCKH-ZGNN-01,OLDID R200 LH R339 WUY,
RCKH-ZGOW-01,OLDID R200 BEBEM A470 SWA,
RCKH-ZGSZ-01,OLDID R200 GUBLO,
RCKH-ZHCC-01,SULEM R596 BZ A470 EMRID W135 DOGVI W545 VEMEX W163 HFE B208 FYG W596 UNTEL,
RCKH-ZHHH-01,SULEM R596 BZ A470 EMRID W135 DOGVI W545 VEMEX W73 MADUK W51 LEGIV W164 ADGOL W50 XSH,
RCKH-ZHHH-02,BEKOL A461 BUBDA W56 UPMAT,
RCKH-ZJHK-01,OLDID R200 BIGRO G221 GIVIV W605 DOMGO,
RCKH-ZJSY-01,OLDID R200 BIGRO G221 WL,
RCKH-ZLXY-01,SULEM R596 BZ A470 EMRID W135 DOGVI W545 VEMEX W163 HFE B208 TYN W87 GODON W43 GUTRU W47 LOVRA,
RCKH-ZPPP-01,OLDID R200 LH R339 BSE A599 LXI,
RCKH-ZSAM-01,OLDID R200 BEBEM A470 TEBON,
RCKH-ZSCN-01,SULEM R596 BZ A470 EMRID W135 DOGVI W545 VEMEX W73 MADUK W51 LEGIV W164 ADGOL W50 XSH W105 PEXEK,
RCKH-ZSCN-02,BEKOL A461 SHL G471 PLT W19 OSONO,
RCKH-ZSFZ-01,SULEM R596 DST B221 LJG,
RCKH-ZSFZ-02,OLDID R200 BEBEM A470 FQG,
RCKH-ZSFZ-03,SULEM R596 OKATO M503 PONEN W122 FOC,
RCKH-ZSHC-01,SULEM R596 BZ A470 UGAGO,
RCKH-ZSJN-01,SULEM R596 BZ A470 EMRID W135 DOGVI A470 DPX A593 ABTUB,
RCKH-ZSNB-01,SULEM R596 DST B221 SHZ,
RCKH-ZSNJ-01,SULEM R596 BZ A470 EMRID W135 GOSRO,
RCKH-ZSOF-01,SULEM R596 BZ A470 EMRID W135 LUPVI R343 MADUK,
RCKH-ZSPD-01,SULEM R596 DST B221 SHZ W58 XSY,
RCKH-ZSQD-01,SULEM R596 OKATO W13 PINOT B221 IDVEL,
RCKH-ZSSS-01,SULEM R596 DST B221 SHZ G204 JTN,
RCKH-ZSTX-01,SULEM R596 BZ A470 UGAGO G204 TXN,
RCKH-ZSWZ-01,SULEM R596 DST,
RCKH-ZSXZ-01,SULEM R596 BZ A470 EMRID W135 DOGVI A470 DPX W126 DO,
RCKH-ZSYT-01,KASKA B591 MIGOL A326 IKEKA W4 FZ,
RCKH-ZUCK-01,OLDID R200 GUBLO W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 SUMUN W3 QJG,
RCKH-ZUGY-01,OLDID R200 GUBLO W22 TEPID W24 OSNOV G586 QP B330 ESNIB,
RCKH-ZUUU-01,OLDID R200 GUBLO W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 IGNAK,
RCKH-ZYCC-01,KASKA B591 MIGOL A326 SANKO W107 CHI A588 LEMOT,
RCKH-ZYHB-01,KASKA B591 MIGOL A326 SANKO W107 CHI A588 NULRA W206 MAGBI W656 ISLUK W629 LARUN,
RCKH-ZYTL-01,KASKA B591 MIGOL A326 SANKO W579 RUPID,
RCKH-ZYTX-01,KASKA B591 MIGOL A326 SANKO W107 CHI A588 TOSID,
RCMQ-ZBTJ-01,SULEM R596 BZ A470 EMRID W135 DOGVI A470 DPX A593 DALIM W157 AVBOX,
RCMQ-ZBYN-01,SULEM R596 BZ A470 EMRID W135 DOGVI W545 VEMEX W163 HFE B208 ANPIG,
RCMQ-ZGGG-01,OLDID R200 GUBLO W22 SHL,
RCMQ-ZGSZ-01,OLDID R200 GUBLO,
RCMQ-ZJHK-01,OLDID R200 BIGRO G221 GIVIV W605 DOMGO,
RCMQ-ZJSY-01,OLDID R200 BIGRO G221 WL,
RCMQ-ZLXY-01,SULEM R596 BZ A470 EMRID W135 DOGVI W545 VEMEX W163 HFE B208 TYN W87 GODON W43 GUTRU W47 LOVRA,
RCMQ-ZPPP-01,OLDID R200 LH R339 BSE A599 LXI,
RCMQ-ZSJN-01,SULEM R596 BZ A470 EMRID W135 DOGVI A470 DPX A593 ABTUB,
RCMQ-ZSNJ-01,SULEM R596 BZ A470 EMRID W135 GOSRO,
RCMQ-ZSOF-01,SULEM R596 BZ A470 EMRID W135 LUPVI R343 MADUK,
RCMQ-ZSPD-01,SULEM R596 DST B221 SHZ W58 XSY,
RCMQ-ZSQD-01,SULEM R596 OKATO W13 PINOT B221 IDVEL,
RCMQ-ZSSS-01,SULEM R596 DST B221 SHZ G204 JTN,
RCMQ-ZUCK-01,OLDID R200 GUBLO W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 SUMUN W3 QJG,
RCMQ-ZUUU-01,OLDID R200 GUBLO W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 IGNAK,
RCMQ-ZYCC-01,KASKA B591 MIGOL A326 SANKO W107 CHI A588 LEMOT,
RCMQ-ZYHB-01,KASKA B591 MIGOL A326 SANKO W107 CHI A588 NULRA W206 MAGBI W656 ISLUK W629 LARUN,
RCNN-ZBTJ-01,SULEM R596 BZ A470 EMRID W135 DOGVI A470 DPX A593 DALIM W157 AVBOX,
RCNN-ZHHH-01,SULEM R596 BZ A470 EMRID W135 DOGVI W545 VEMEX W73 MADUK W51 LEGIV W164 ADGOL W50 XSH,
